Date,PnL,NAV
2018-05-15,1123.18,1380904.9
2018-05-16,-628.92,1380275.98
2018-05-17,3850.78,1384126.76
2018-05-18,-634.7,1383492.06
2018-05-20,-2073.87,1381418.19
2018-05-21,348.44,1381766.6300000001
2018-05-22,-1787.61,1379979.02
2018-05-23,728.86,1380707.8800000001
2018-05-24,311.92,1381019.8
2018-05-25,307.1,1381326.9
2018-05-27,3479.17,1384806.07
2018-05-28,434.85,1385240.92
2018-05-29,-271.63,1384969.29
2018-05-30,-625.2,1384344.0899999999
2018-05-31,327.41,1384671.5
2018-06-02,-816.4,1383855.0999999999
2018-06-03,886.99,1384742.0899999999
2018-06-04,2747.77,1387489.8599999999
2018-06-05,-9.73,1387480.13
2018-06-06,329.24,1387809.3699999999
2018-06-07,1434.49,1389243.8599999999
2018-06-08,477.93,1389721.79
2018-06-09,-473.38,1389248.41
2018-06-11,6024.19,1395272.5999999999
2018-06-12,-929.87,1394342.73
2018-06-13,993.91,1395336.64
2018-06-14,3710.87,1399047.5099999998
2018-06-15,595.89,1399643.4
2018-06-18,-305.04,1399338.3599999999
2018-06-19,2251.58,1401589.94
2018-06-20,1232.76,1402822.7
2018-06-21,1607.13,1404429.83
2018-06-22,2627.31,1407057.14
2018-06-24,-59.71,1406997.43
2018-06-25,623.08,1407620.51
2018-06-26,1470.92,1409091.43
2018-06-27,-1081.73,1408009.7
2018-06-28,-5636.14,1402373.56
2018-06-29,-2031.94,1400341.6199999999
2018-07-01,869.34,1401210.96
2018-07-02,436.69,1401647.65
2018-07-03,254.68,1401902.33
2018-07-05,-1162.95,1400739.38
2018-07-06,562.09,1401301.47
2018-07-08,1722.32,1403023.79
2018-07-09,2278.54,1405302.33
2018-07-10,-251.73,1405050.6
2018-07-11,794.18,1405844.78
2018-07-12,686.82,1406531.6
2018-07-13,-288.23,1406243.37
2018-07-16,132.7,1406376.07
2018-07-17,461.38,1406837.45
2018-07-18,4580.71,1411418.1600000001
2018-07-19,3901.79,1415319.95
2018-07-20,1281.53,1416601.48
2018-07-23,1581.69,1418183.17
2018-07-24,587.4,1418770.57
2018-07-25,748.23,1419518.8
2018-07-26,-2570.89,1416947.9100000001
2018-07-27,500.8,1417448.71
